"datayear"	"uniqidnew"	"shelter_1"	"shelter_2"	"shelter_3"	"tenure_1"	"tenure_2"	"tenure_3"	"singlepar_1"	"singlepar_2"	"singlepar_3"	"numadults_1"	"numadults_2"	"numadults_3"	"numkids_1"	"numkids_2"	"numkids_3"	"acctype_1"	"acctype_2"	"acctype_3"	"agehigh_1"	"agehigh_2"	"agehigh_3"	"empstathigh_1"	"empstathigh_2"	"empstathigh_3"	"ethnichigh_1"	"ethnichigh_2"	"ethnichigh_3"	"sochigh_1"	"sochigh_2"	"sochigh_3"	"datayear_1"	"datayear_2"	"datayear_3"
17	"248821.09"	0	0	0	5	2	2	0	0	0	2	2	1	0	0	0	4	2	2	36	7	1	1	1	1	1	1	1	7	2	1	17	1	1
17	"248844.64"	0	0	0	2	1	1	0	0	0	3	3	2	0	0	0	1	1	1	53	10	2	1	1	1	1	1	1	3	2	1	17	1	1
17	"248873.29"	0	0	0	4	2	2	0	0	0	2	2	1	2	2	1	2	1	1	36	7	1	1	1	1	1	1	1	8	3	1	17	1	1
17	"249266.33"	0	0	0	1	1	1	0	0	0	2	2	1	0	0	0	4	2	2	66	13	3	5	3	3	1	1	1	8	3	1	17	1	1
17	"249412.85"	0	0	0	3	2	2	0	0	0	1	1	-888	0	0	0	4	2	2	62	12	3	1	1	1	1	1	1	9	4	1	17	1	1
17	"249611.95"	0	0	0	5	2	2	0	0	0	2	2	1	1	1	1	3	1	1	30	6	1	1	1	1	1	1	1	2	1	1	17	1	1
17	"249736.36"	0	0	0	2	1	1	1	1	1	1	1	-888	1	1	1	2	1	1	42	8	2	1	1	1	1	1	1	9	4	1	17	1	1
17	"249862.19"	0	0	0	4	2	2	0	0	0	1	1	-888	0	0	0	4	2	2	37	7	1	8	5	3	1	1	1	0	0	1	17	1	1
17	"249900.33"	0	0	0	1	1	1	0	0	0	2	2	1	0	0	0	1	1	1	70	14	3	5	3	3	1	1	1	3	2	1	17	1	1
17	"249973.66"	0	0	0	1	1	1	0	0	0	2	2	1	0	0	0	3	1	1	69	13	3	5	3	3	1	1	1	0	0	1	17	1	1
17	"249974.32"	0	0	0	1	1	1	0	0	0	1	1	-888	0	0	0	4	2	2	68	13	3	5	3	3	1	1	1	0	0	1	17	1	1
17	"250069.56"	0	0	0	1	1	1	0	0	0	1	1	-888	0	0	0	3	1	1	59	11	2	1	1	1	1	1	1	4	2	1	17	1	1
17	"250224.84"	0	0	0	2	1	1	0	0	0	2	2	1	2	2	1	1	1	1	40	8	2	1	1	1	1	1	1	2	1	1	17	1	1
17	"250230.49"	0	0	0	3	2	2	0	0	0	2	2	1	0	0	0	4	2	2	51	10	2	1	1	1	1	1	1	5	3	1	17	1	1
17	"250372.43"	0	0	0	1	1	1	0	0	0	1	1	-888	0	0	0	2	1	1	75	15	3	5	3	3	1	1	1	0	0	1	17	1	1
17	"250885.92"	0	0	0	1	1	1	0	0	0	2	2	1	0	0	0	4	2	2	49	9	2	1	1	1	1	1	1	1	1	1	17	1	1
17	"250926.85"	0	0	0	6	3	3	0	0	0	1	1	-888	0	0	0	1	1	1	50	10	2	8	5	3	1	1	1	0	0	1	17	1	1
17	"250936.89"	0	0	0	5	2	2	0	0	0	2	2	1	0	0	0	3	1	1	46	9	2	1	1	1	1	1	1	8	3	1	17	1	1
17	"250968.56"	0	0	0	4	2	2	0	0	0	2	2	1	0	0	0	4	2	2	33	6	1	1	1	1	1	1	1	6	4	1	17	1	1
17	"251010.37"	0	0	0	1	1	1	0	0	0	3	3	2	0	0	0	1	1	1	80	16	4	3	2	1	1	1	1	5	3	1	17	1	1
17	"251155.1"	0	0	0	5	2	2	0	0	0	2	2	1	0	0	0	4	2	2	31	6	1	1	1	1	1	1	1	9	4	1	17	1	1
17	"251334.55"	0	0	0	5	2	2	0	0	0	2	2	1	0	0	0	4	2	2	22	4	1	2	1	1	1	1	1	7	2	1	17	1	1
17	"251634.37"	0	0	0	1	1	1	0	0	0	1	1	-888	0	0	0	1	1	1	80	16	4	5	3	3	1	1	1	0	0	1	17	1	1
17	"251686.08"	0	0	0	1	1	1	0	0	0	2	2	1	0	0	0	1	1	1	59	11	2	1	1	1	1	1	1	1	1	1	17	1	1
17	"252093.02"	0	0	0	2	1	1	1	1	1	1	1	-888	0	0	0	1	1	1	29	5	1	2	1	1	1	1	1	3	2	1	17	1	1
17	"252489.49"	0	0	0	1	1	1	0	0	0	1	1	-888	0	0	0	1	1	1	69	13	3	5	3	3	1	1	1	0	0	1	17	1	1
17	"253219.21"	0	0	0	2	1	1	0	0	0	1	1	-888	0	0	0	4	2	2	55	11	2	1	1	1	1	1	1	3	2	1	17	1	1
17	"253399.96"	0	0	0	1	1	1	0	0	0	2	2	1	0	0	0	2	1	1	65	13	3	5	3	3	2	1	1	1	1	1	17	1	1
17	"253801.57"	0	0	0	2	1	1	0	0	0	2	2	1	1	1	1	3	1	1	46	9	2	1	1	1	1	1	1	9	4	1	17	1	1
17	"253865.69"	0	0	0	1	1	1	0	0	0	1	1	-888	0	0	0	2	1	1	76	15	3	5	3	3	1	1	1	0	0	1	17	1	1
17	"253997.41"	0	0	0	4	2	2	0	0	0	1	1	-888	0	0	0	4	2	2	20	4	1	6	4	3	1	1	1	9	4	1	17	1	1
